  ------------------------------------------------------------
  Configuration date: 2022-06-27 13:39:14 UTC +02:00
  Git branch:         qed_hf_grad_debug
  Git hash:           5319614efd0ad404db53106547522f391ae25557
  Fortran compiler:   GNU 12.1.0
  C compiler:         GNU 12.1.0
  C++ compiler:       GNU 12.1.0
  LAPACK type:        MKL
  BLAS type:          MKL
  64-bit integers:    ON
  OpenMP:             ON
  PCM:                OFF
  Forced batching:    OFF
  Runtime checks:     OFF
  ------------------------------------------------------------

  Description                                 wall[s]         cpu[s]    cpu/wall
  -------------------------------------------------------------------------------------
  One-electron integrals (overlap)             0.00            0.05     25.57
  Cholesky decomposition of AO        
  overlap                                      0.04            1.23     28.96
  Time initializing AO tool                    0.23            1.97      8.43
  One-electron integrals (overlap)             0.00            0.02     29.57
  One-electron integrals (dipole)              0.00            0.03     43.39


  Generating initial SAD density
  ==============================
  SAD generation time                          0.50           20.81     41.62
  Generating initial SAD density               0.62           21.47     34.83


  Determining reference state
  ===========================
  One-electron integrals              
  (hamiltonian)                                0.00            0.07     40.96
  AO G construction                            0.18            8.02     43.82
  AO G construction                            2.02           88.04     43.60
  SCF diagonalization                          0.02            0.75     35.89
  SCF iteration                                2.09           90.31     43.31
  AO G construction                            1.99           87.01     43.65
  SCF diagonalization                          0.02            0.68     33.84
  SCF iteration                                2.04           88.48     43.38
  AO G construction                            1.97           85.74     43.62
  SCF diagonalization                          0.02            0.69     34.23
  SCF iteration                                2.01           87.35     43.36
  AO G construction                            1.98           86.43     43.65
  SCF diagonalization                          0.02            0.76     34.27
  SCF iteration                                2.03           87.96     43.39
  AO G construction                            1.93           84.39     43.62
  SCF diagonalization                          0.02            0.67     34.48
  SCF iteration                                1.98           85.75     43.37
  AO G construction                            1.92           83.80     43.65
  SCF diagonalization                          0.02            0.71     34.36
  SCF iteration                                1.97           85.36     43.36
  AO G construction                            1.91           83.31     43.64
  SCF diagonalization                          0.02            0.74     34.70
  SCF iteration                                1.95           84.78     43.40
  AO G construction                            1.88           82.11     43.72
  SCF diagonalization                          0.02            0.67     35.29
  SCF iteration                                1.92           83.53     43.49
  AO G construction                            1.85           80.64     43.55
  SCF diagonalization                          0.02            0.67     34.04
  SCF iteration                                1.89           82.01     43.28
  AO G construction                            1.80           78.48     43.51
  SCF diagonalization                          0.02            0.75     35.42
  SCF iteration                                1.85           80.09     43.22
  AO G construction                            1.78           77.09     43.37
  SCF diagonalization                          0.02            0.74     34.05
  SCF iteration                                1.82           78.51     43.10
  AO G construction                            1.74           75.24     43.21
  SCF diagonalization                          0.02            0.72     35.26
  SCF iteration                                1.79           76.67     42.95
  AO G construction                            1.67           72.47     43.41
  SCF diagonalization                          0.02            0.68     34.72
  SCF iteration                                1.71           73.88     43.16
  AO G construction                            1.62           70.67     43.61
  SCF diagonalization                          0.02            0.67     34.76
  SCF iteration                                1.66           72.04     43.33
  AO G construction                            1.57           68.64     43.73
  SCF diagonalization                          0.02            0.72     35.44
  SCF iteration                                1.62           70.25     43.40
  AO G construction                            1.50           66.00     43.86
  SCF diagonalization                          0.02            0.67     36.93
  SCF iteration                                1.55           67.61     43.56
  AO G construction                            1.45           63.48     43.87
  SCF diagonalization                          0.02            0.70     37.05
  SCF iteration                                1.49           65.06     43.52
  AO G construction                            1.38           60.65     43.87
  SCF diagonalization                          0.02            0.68     35.00
  SCF iteration                                1.43           62.20     43.51
  AO G construction                            1.27           55.79     43.87
  SCF iteration                                1.29           56.33     43.66
  SCF solver                                  34.10         1478.30     43.35
  QED-HF gradient                             21.04          894.44     42.51
  Determining reference state                 57.30         2466.28     43.04
  Total time in eT                            58.16         2490.04     42.81
